    Abertamy (Village, Karlovy Vary)
    Adamov (Town, Blansko)
    Adamov (Village, České Budějovice)
    Adamov (Village, Kutná Hora)
    Adršpach (Village, Náchod)
    Albrechtice (Village, Karviná)
    Albrechtice (Village, Ústí nad Orlicí)
    Albrechtice nad Orlicí (Village,aRychnov nad Kněžnou)
    Albrechtice nad Vltavou (Village, Písek)
    Albrechtice v Jizerských horách (Village, Jablonec nad Nisou)
    Albrechtičky (Village, Nový Jičín)
    Alojzov (Village, Prostějov)
    Andělská Hora (Village, Bruntál)
    Andělská Hora (Village, Karlovy Vary)
    Anenská Studánka (Village, Ústí nad Orlicí)
    Archlebov (Village, Hodonín)
    Arneštovice (Village, Pelhřimov)
    Arnolec (Village, Jihlava)
    Arnoltice (Village, Děčín)
    Aš (Town, Cheb)
